X,Y,OBJECTID,PARKINGMID,ASSETID,ASSETCODE,OWNER,INSTYR,INSTYRCONF,MAT,MATCONF,LOCGEN,ACCESSIBLE,DURATION,FDMID,PARTNER,ASSETSTAT,INSTDATE,LOCATION,MAINTBY,LEGACYID,ADDDATE,MODDATE,SDATE,SOURCE,SACC
-63.568365924717178,44.640936950376648,59703,PKM7884,PKM7884,PKM,Halifax,,,,,Right-of-Way,,90,300001898,,In Service,,,Halifax,1B,,2016-10-07T13:10:10.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.570100415223962,44.640136735351703,59704,PKM7885,PKM7885,PKM,Halifax,,,,,Right-of-Way,,90,300001938,,In Service,,,Halifax,7B,,2016-10-07T13:10:52.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.574517886921818,44.640262618888066,59705,PKM7887,PKM7887,PKM,Halifax,,,,,Right-of-Way,,90,300001992,,In Service,,,Halifax,14,,2016-10-07T13:52:15.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.569747788745708,44.642207822772683,59706,PKM7888,PKM7888,PKM,Halifax,,,,,Right-of-Way,,120,300001781,,In Service,,,Halifax,9B,,2018-04-13T11:45:09.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.570578910944874,44.64199179044617,59707,PKM7889,PKM7889,PKM,Halifax,,,,,Right-of-Way,,120,300001816,,In Service,,,Halifax,11A,,2016-10-07T13:08:23.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.569805261160958,44.641489703320566,59708,PKM7890,PKM7890,PKM,Halifax,,,,,Right-of-Way,,120,300001899,,In Service,,,Halifax,28,,2016-10-07T13:09:48.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.57188845699978,44.642748146143468,59709,PKM7891,PKM7891,PKM,Halifax,,,,,Right-of-Way,,90,300001817,,In Service,,,Halifax,26A,,2016-10-07T13:08:00.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.582483271003994,44.63911262337254,59710,PKM7892,PKM7892,PKM,Halifax,,,,,Right-of-Way,,120,700004861,,In Service,,,Halifax,21B,,2016-10-07T13:28:51.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.579985723647106,44.651696054448202,59711,PKM7893,PKM7893,PKM,Halifax,,,,,Right-of-Way,,120,700004713,,In Service,,,Halifax,86B,,2016-10-06T19:48:22.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.580128346469827,44.639719361513727,59712,PKM7894,PKM7894,PKM,Halifax,,,,,Right-of-Way,,120,700004867,,In Service,,,Halifax,3A,,2016-10-07T13:26:20.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.582455921795166,44.639119798954376,59713,PKM7895,PKM7895,PKM,Halifax,,,,,Right-of-Way,,120,700004861,,In Service,,,Halifax,21A,,2016-10-07T13:28:51.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.574459601531245,44.645191220347975,59714,PKM7762,PKM7762,PKM,Halifax,,,,,Right-of-Way,,90,300001576,,In Service,,,Halifax,17,,2016-10-07T13:17:09.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.574202697733028,44.64467049059305,59715,PKM7763,PKM7763,PKM,Halifax,,,,,Right-of-Way,,90,300001647,,In Service,,,Halifax,15,,2016-10-07T13:15:06.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.572857089709387,44.645015841941095,59716,PKM7764,PKM7764,PKM,Halifax,,,,,Right-of-Way,,90,300001591,,In Service,,,Halifax,27B,,2016-10-07T13:15:41.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.572885227639027,44.645069659059878,59717,PKM7765,PKM7765,PKM,Halifax,,,,,Right-of-Way,,90,300001591,,In Service,,,Halifax,29A,,2016-10-07T13:15:41.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.588064760782409,44.638234002270714,59718,PKM7799,PKM7799,PKM,Halifax,,,,,Right-of-Way,,180,700004769,,In Service,,,Halifax,13B,,2016-10-07T13:42:27.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.58251048277058,44.639520939798267,59719,PKM7796,PKM7796,PKM,Halifax,,,,,Right-of-Way,,120,700006001,,In Service,,,Halifax,2,,2016-10-07T13:29:31.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.586979471951672,44.638172792814728,59720,PKM7798,PKM7798,PKM,Halifax,,,,,Right-of-Way,,180,700004767,,In Service,,,Not Applicable,9,,2018-03-09T13:01:21.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.589046926611765,44.637831542154622,59721,PKM7801,PKM7801,PKM,Halifax,,,,,Right-of-Way,,180,700004771,,In Service,,,Halifax,13A,,2016-10-07T13:50:57.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.585597033899695,44.639461541244842,59722,PKM7802,PKM7802,PKM,Halifax,,,,,Right-of-Way,,120,300001985,,In Service,,,Halifax,56B,,2016-10-07T13:36:35.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.585571969106631,44.639469374509268,59723,PKM7803,PKM7803,PKM,Halifax,,,,,Right-of-Way,,120,300001985,,In Service,,,Halifax,56A,,2016-10-07T13:36:35.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.583212264636849,44.640101359181287,59724,PKM7805,PKM7805,PKM,Halifax,,,,,Right-of-Way,,120,300001954,,In Service,,,Halifax,34A,,2016-10-07T13:37:18.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.569768194875692,44.640099325303304,59725,PKM7806,PKM7806,PKM,Halifax,,,,,Right-of-Way,,120,300001938,,In Service,,,Halifax,8A,,2016-10-07T13:10:52.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.571227406545134,44.640685895442132,59726,PKM7808,PKM7808,PKM,Halifax,,,,,Right-of-Way,,120,300001929,,In Service,,,Halifax,3A,,2016-10-07T13:13:24.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.570219527339049,44.645386395094889,59727,PKM7810,PKM7810,PKM,Halifax,,,,,Right-of-Way,,120,700002515,,In Service,,,Halifax,9A,,2016-10-07T13:04:52.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.58171542523511,44.644149075482183,59728,PKM7811,PKM7811,PKM,Halifax,,,,,Right-of-Way,,300,300001678,,In Service,,,Halifax,34,,2016-10-07T13:34:22.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.582606819898281,44.643932238037394,59729,PKM7812,PKM7812,PKM,Halifax,,,,,Right-of-Way,,300,300001678,,In Service,,,Halifax,54,,2016-10-07T13:34:22.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
-63.583149158886449,44.643796823915508,59730,PKM7813,PKM7813,PKM,Halifax,,,,,Right-of-Way,,300,300001678,,In Service,,,Halifax,68,,2016-10-07T13:34:22.000Z,2013-06-24T00:00:00.000Z,FINANCE,Interactive
